circuit type,n,num_gates,num_wires,max_input_fanout,total_input_fanout
bw,4,1717,1961,1,32
opt1,4,1237,2201,1,32
opt2,4,323,324,2,64
bw,5,4645,5550,1,60
opt1,5,3421,6366,1,60
opt2,5,717,718,2,120
bw,6,10091,12617,1,96
opt1,6,7403,14297,1,96
opt2,6,1929,1930,2,192
bw,7,19153,24424,1,140
opt1,7,14193,27976,1,140
opt2,7,2745,2746,2,280
bw,8,33121,42921,1,192
opt1,8,24481,49257,1,192
opt2,8,6040,6041,2,384
bw,9,55245,73074,1,261
opt1,9,41035,83794,1,261
opt2,9,7155,7156,2,522
bw,10,86681,116171,1,340
opt1,10,64241,133111,1,340
opt2,10,14569,14570,2,680
bw,11,129691,175242,1,429
opt1,11,96463,201678,1,429
opt2,11,15531,15532,2,858
bw,12,186777,254181,1,528
opt1,12,138729,292869,1,528
opt2,12,29953,29954,2,1056
bw,13,260583,357056,1,637
opt1,13,194041,412272,1,637
opt2,13,30224,30225,2,1274
bw,14,354169,489003,1,756
opt1,14,263449,563763,1,756
opt2,14,53760,53761,2,1512
bw,15,470757,654132,1,885
opt1,15,350869,754324,1,885
opt2,15,47904,47905,2,1770
bw,16,613809,857537,1,1024
opt1,16,457137,988097,1,1024
opt2,16,88045,88046,2,2048