Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,sum(W),max(W),T,GCD,circ_size,depth,num_wires_v2,max_fan,total_fan,sum(W) / total_fan,Max(W) / max_fan,(total_fan+num_wires) - (sum(W))
1,1,5,35,1,1,2,29,35,8,2,1,17,3,8,1,15,164,35,81,1,1770,224,3541,8,58,2.828,4.375,3435.000
2,1,101,1,2,8,2,5,1,1,1,6,69,5,3,1,1,208,101,103,1,1505,226,3011,8,56,3.714,12.625,2859.000
3,5,1,2,1,50,30,42,5,1,15,1,1,1,1,3,28,187,50,93,1,1809,226,3619,6,54,3.463,8.333,3486.000
4,1,348,1,3,1,1,2,1,1,1,2,1,2,14,354,29,762,354,380,1,1811,226,3623,8,50,15.240,44.250,2911.000
5,1,16,3,40,1,1,4,1,8,2,35,1,1,1,5,53,173,53,86,1,1732,222,3465,6,44,3.932,8.833,3336.000
6,119,5,1,1,1,2,44,2,1,24,1,56,44,1,1,12,315,119,157,1,2023,220,4047,37,75,4.200,3.216,3807.000
7,2,3,3,1,8,1,8,1,1,1,1,1,3,2,12,2,50,12,24,1,1417,216,2835,5,41,1.220,2.400,2826.000
8,1,1,26,1,1,2,1,1,1,14,2,19,6,17,3,1,97,26,48,1,1738,222,3477,6,50,1.940,4.333,3430.000
9,2,1,2,1,1,12,1,2,6,5,7,3,1,1,1,24,70,24,34,1,1522,220,3045,19,57,1.228,1.263,3032.000
10,15,4,18,1,1,5,1,6,4,1,3,1,15,5,67,1,148,67,73,1,1709,226,3419,47,97,1.526,1.426,3368.000
11,1,1,1,9,10,1,2,26,2,23,2,5,1,2,2,1,89,26,44,1,1549,218,3099,6,44,2.023,4.333,3054.000
12,4,27,1,1,13,55,1,17,1,2,9,1,1,1,1,1,136,55,67,1,1798,228,3597,12,54,2.519,4.583,3515.000
13,1,1,89,1,4,6,33,71,18,91,50,110,1,1,1,1,479,110,239,1,2146,226,4293,8,58,8.259,13.750,3872.000
14,8,630,1,1,174,1,1,1,52,1,3,18,946,8,1,96,1942,946,970,1,2112,220,4225,12,62,31.323,78.833,2345.000
15,33,3,2,1,4,531,2,1,1,117,1,458,3,4,5,88,1254,531,626,1,1993,224,3987,68,124,10.113,7.809,2857.000
16,1,3,13,1,1,1,257,1,2,1,391,2,109,3,6,1,793,391,396,1,1655,230,3311,28,78,10.167,13.964,2596.000
17,2,16,1,1,7,1,1,1,1,6,1,2,76,3,1,56,176,76,87,1,1534,220,3069,9,51,3.451,8.444,2944.000
18,22,1,2,3,2,1,1,3,3,1,1,1,5,16,4,2,68,22,33,1,1555,220,3111,6,44,1.545,3.667,3087.000
19,2,1,15,1,1,1,3,3,15,2,5,3,1,53,4,1,111,53,55,1,1663,224,3327,8,51,2.176,6.625,3267.000
20,3,1,2,1,1,1,3,4,1,1,8,39,2,46,2,1,116,46,57,1,1550,222,3101,6,44,2.636,7.667,3029.000